"","X.Intercept.","age","GNDR_CD"
"(Intercept)",0.00203914939873241,-2.30028874498836e-05,-0.000233261555277712
"age",-2.30028874498836e-05,3.5345372624451e-07,-1.26189667585147e-06
"GNDR_CD",-0.000233261555277712,-1.26189667585147e-06,0.000206527662057121
