"","X.Intercept.","age","GNDR_CD"
"(Intercept)",0.00527827036867789,-6.27998933898842e-05,-0.000258047887984168
"age",-6.27998933898842e-05,8.64880944122027e-07,-2.14886645728506e-06
"GNDR_CD",-0.000258047887984168,-2.14886645728506e-06,0.000267305149614755
